Blood Sugar Reading time,Blood_Sugar_Level,Lispro_Before_Breakfast (mg),Lispro_Before_Lunch (mg),Lispro_Before_Dinner (mg),Glargine_Before_Bedtime (mg),,,,,
Before_Dinner,,,,,,,,,,
Before_Bedtime,,,,,,,,,,
Before_Breakfast,,,,,,,,,,
Before_Lunch,,,,,,,,,,
Before_Dinner,,,,,,,,,,
Before_Bedtime,,,,,,,,,,
Before_Breakfast,,,,,,,,,,
Before_Lunch,,,,,,,,,,
Before_Dinner,,,,,,,,,,
Before_Bedtime,,,,,,,,,,
Before_Breakfast,,,,,,,,,,
Before_Lunch,,,,,,,,,,
Before_Dinner,,,,,,,,,,
Before_Bedtime,,,,,,,,,,
Before_Breakfast,,,,,,,,,,
Before_Lunch,,,,,,,,,,
