Blood Sugar Reading time,Blood_Sugar_Level,Glargine_Before_Dinner (mg),Lispro_Before_Breakfast (mg),Lispro_Before_Lunch (mg),Lispro_Before_Dinner (mg),,,,,,
Before_Breakfast,,,,,,,,,,,
Before_Lunch,,,,,,,,,,,
Before_Dinner,,,,,,,,,,,
Before_Bedtime,,,,,,,,,,,
Before_Breakfast,,,,,,,,,,,
Before_Lunch,,,,,,,,,,,
Before_Dinner,,,,,,,,,,,
Before_Bedtime,,,,,,,,,,,
Before_Breakfast,,,,,,,,,,,
Before_Lunch,,,,,,,,,,,
Before_Dinner,,,,,,,,,,,
Before_Bedtime,,,,,,,,,,,
Before_Breakfast,,,,,,,,,,,
Before_Lunch,,,,,,,,,,,
Before_Dinner,,,,,,,,,,,
Before_Bedtime,,,,,,,,,,,
Before_Breakfast,,,,,,,,,,,
Before_Lunch,,,,,,,,,,,
Before_Dinner,,,,,,,,,,,
Before_Bedtime,,,,,,,,,,,
Before_Breakfast,,,,,,,,,,,
Before_Lunch,,,,,,,,,,,
Before_Dinner,,,,,,,,,,,
Before_Bedtime,,,,,,,,,,,
Before_Breakfast,,,,,,,,,,,
Before_Lunch,,,,,,,,,,,
